@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
7188,'2023/12/04 22:38:23:582',66,-87,132,-87,216,-1907998,0.9,0.96
7189,'2023/12/04 22:38:23:598',66,0,-543,-570,0,-16777216,0.9,0.96
7190,'2023/12/04 22:38:23:614',66,573,162,0,228,-1,0.9,0.96
7191,'2023/12/04 22:38:23:633',66,0,0,0,0,-16777216,0.9,0.96
7192,'2023/12/04 22:38:23:649',66,0,0,0,0,-16777216,0.9,0.96
7193,'2023/12/04 22:38:23:667',66,0,0,0,0,-16777216,0.9,0.96
7194,'2023/12/04 22:38:23:681',66,0,0,0,0,-16777216,0.9,0.96
7195,'2023/12/04 22:38:23:703',66,0,0,0,0,-16777216,0.9,0.96
7196,'2023/12/04 22:38:23:717',66,0,0,0,0,-16777216,0.9,0.96
7197,'2023/12/04 22:38:23:732',66,0,0,0,0,-16777216,0.9,0.96
7198,'2023/12/04 22:38:24:232',67,-249,417,183,516,-5460820,0.9,0.96
7199,'2023/12/04 22:38:24:249',67,-249,417,183,516,-5460820,0.9,0.96
7200,'2023/12/04 22:38:24:265',67,645,0,0,207,-1,0.9,0.96
7201,'2023/12/04 22:38:24:284',67,645,0,0,207,-1,0.9,0.96
7202,'2023/12/04 22:38:24:299',67,645,0,0,207,-1,0.9,0.96
7203,'2023/12/04 22:38:24:317',67,645,0,0,207,-1,0.9,0.96
7204,'2023/12/04 22:38:24:331',67,645,0,0,207,-1,0.9,0.96
7205,'2023/12/04 22:38:24:348',67,645,0,0,207,-1,0.9,0.96
7206,'2023/12/04 22:38:24:364',67,645,0,0,207,-1,0.9,0.96
7207,'2023/12/04 22:38:24:384',67,645,0,0,207,-1,0.9,0.96
7208,'2023/12/04 22:38:24:400',67,645,0,0,207,-1,0.9,0.96
7209,'2023/12/04 22:38:24:416',67,645,0,0,207,-1,0.9,0.96
7210,'2023/12/04 22:38:24:435',67,645,0,0,207,-1,0.9,0.96
7211,'2023/12/04 22:38:24:448',67,645,0,0,207,-1,0.9,0.96
7212,'2023/12/04 22:38:24:968',68,0,0,0,0,-16777216,0.9,0.96
7213,'2023/12/04 22:38:24:982',68,129,228,228,228,-11776948,0.9,0.96
7214,'2023/12/04 22:38:24:998',68,-78,0,0,0,-16777216,0.9,0.96
7215,'2023/12/04 22:38:25:015',68,-99,0,0,0,-16777216,0.9,0.96
7216,'2023/12/04 22:38:25:033',68,39,669,48,204,-921103,0.9,0.96
