@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2,3}

@data
122,'2023/11/28 01:46:46:308',7,-0.008083,0.009649,0.019359,?
123,'2023/11/28 01:46:46:342',7,0.005344,0.005163,0.002454,?
124,'2023/11/28 01:46:46:371',7,-0.012489,-0.001502,0.008722,?
125,'2023/11/28 01:46:46:426',7,-0.001637,-0.005524,0.003195,?
126,'2023/11/28 01:46:46:444',7,0.003634,-0.005767,0.001862,?
127,'2023/11/28 01:46:46:473',7,-0.001959,-0.000774,0.005138,?
128,'2023/11/28 01:46:46:512',7,-0.003888,-0.002385,0.009694,?
129,'2023/11/28 01:46:46:538',7,-0.007661,-0.000656,0.010631,?
130,'2023/11/28 01:46:46:570',7,0.004459,-0.000762,-0.00039,?
131,'2023/11/28 01:46:46:604',7,0.004027,-0.00391,-0.002663,?
132,'2023/11/28 01:46:46:636',7,0.007169,-0.015358,-0.006507,?
133,'2023/11/28 01:46:46:670',7,-0.005979,-0.003679,0.009197,?
134,'2023/11/28 01:46:46:724',7,-0.002056,0.005215,0.010009,?
135,'2023/11/28 01:46:46:737',7,-0.000521,0.010794,0.015361,?
136,'2023/11/28 01:46:46:769',7,-0.000496,0.009149,0.017638,?
137,'2023/11/28 01:46:47:770',8,-0.011311,-0.020576,0.004827,?
138,'2023/11/28 01:46:47:817',8,-0.015405,-0.022524,0.000132,?
139,'2023/11/28 01:46:47:837',8,-0.008445,-0.01086,0.010539,?
140,'2023/11/28 01:46:47:869',8,-0.008624,-0.006732,0.025811,?
141,'2023/11/28 01:46:47:912',8,-0.003696,0.00849,0.014101,?
142,'2023/11/28 01:46:47:936',8,0.007324,0.013063,0.01057,?
143,'2023/11/28 01:46:47:969',8,0.00353,0.015002,0.017051,?
144,'2023/11/28 01:46:48:004',8,0.002187,0.011673,0.00918,?
145,'2023/11/28 01:46:48:037',8,0.002928,0.012287,-0.003271,?
146,'2023/11/28 01:46:48:070',8,0.007315,0.008096,-0.006441,?
147,'2023/11/28 01:46:48:105',8,0.002466,0.003605,-0.00576,?
148,'2023/11/28 01:46:48:139',8,0.000193,0.00131,-0.009036,?
149,'2023/11/28 01:46:48:171',8,-0.002892,-0.008187,0.005529,?
150,'2023/11/28 01:46:48:225',8,-0.005473,-0.008033,0.016618,?
151,'2023/11/28 01:46:48:237',8,0.000699,-0.005498,0.010189,?
